,0
0,"[108.45088958740234, -214.8408660888672, 0.236785888671875, 0.0, 0.0, 0.0]"
1,"[32.54334259033203, -215.0026397705078, 0.236785888671875, 0.0, 0.0, 0.0]"
2,"[55.780311584472656, 218.07461547851562, 0.236785888671875, 0.0, 0.0, 0.0]"
3,"[-133.2333984375, 141.32395935058594, 0.1909637451171875, 0.0, 0.0, 0.0]"
4,"[-12.657340049743652, -46.27393341064453, 0.1909637451171875, 0.0, 0.0, 0.0]"
5,"[38.09686279296875, -144.57717895507812, 2.5676028728485107, 0.0, 0.0, 0.0]"
6,"[203.93978881835938, 71.11862182617188, 0.1909637451171875, 0.0, 0.0, 0.0]"
7,"[70.8860855102539, -125.35562896728516, 8.290959358215332, 0.0, 0.0, 0.0]"
8,"[-184.0834197998047, -6.685233116149902, 0.1909637451171875, 0.0, 0.0, 0.0]"
9,"[-156.10301208496094, 52.13481521606445, 0.1909637451171875, 0.0, 0.0, 0.0]"
10,"[-209.38058471679688, 108.69305419921875, 0.1909637451171875, 0.0, 0.0, 0.0]"
11,"[-129.23977661132812, 55.06721496582031, 0.1909637451171875, 0.0, 0.0, 0.0]"
12,"[-156.32334899902344, 35.958641052246094, 0.1909637451171875, 0.0, 0.0, 0.0]"
13,"[-11.592116355895996, -113.45025634765625, 0.1909637451171875, 0.0, 0.0, 0.0]"
14,"[-93.4990234375, 120.11334228515625, 0.31577014923095703, 0.0, 0.0, 0.0]"
15,"[223.68101501464844, 94.8084487915039, 0.46717000007629395, 0.0, 0.0, 0.0]"
16,"[154.20501708984375, 134.6420440673828, 0.6909637451171875, 0.0, 0.0, 0.0]"
17,"[-85.85540008544922, 11.132610321044922, 0.236785888671875, 0.0, 0.0, 0.0]"
18,"[-257.4068298339844, 95.62339782714844, 0.236785888671875, 0.0, 0.0, 0.0]"
19,"[-62.963706970214844, 179.44847106933594, 5.300547122955322, 0.0, 0.0, 0.0]"
20,"[144.06922912597656, 60.04817199707031, 0.236785888671875, 0.0, 0.0, 0.0]"
21,"[-238.35057067871094, 80.1985092163086, 0.236785888671875, 0.0, 0.0, 0.0]"
22,"[-106.94475555419922, 9.59267807006836, 0.236785888671875, 0.0, 0.0, 0.0]"
23,"[-18.399991989135742, 81.24392700195312, 0.236785888671875, 0.0, 0.0, 0.0]"
24,"[-179.75381469726562, -19.012399673461914, 0.236785888671875, 0.0, 0.0, 0.0]"
25,"[30.594669342041016, 42.14302444458008, 0.17763710021972656, 0.0, 0.0, 0.0]"
26,"[89.80699157714844, -16.538698196411133, 0.17763710021972656, 0.0, 0.0, 0.0]"
27,"[73.15830993652344, -49.160423278808594, 0.17763710021972656, 0.0, 0.0, 0.0]"
28,"[32.14109802246094, 148.47021484375, 0.17763710021972656, 0.0, 0.0, 0.0]"
29,"[-120.70298767089844, 33.806434631347656, 0.17763710021972656, 0.0, 0.0, 0.0]"
30,"[-95.0185775756836, -0.29570722579956055, 0.17763710021972656, 0.0, 0.0, 0.0]"
31,"[-18.819000244140625, 78.03477478027344, 0.17763710021972656, 0.0, 0.0, 0.0]"
32,"[-58.75167465209961, -35.59648895263672, 0.17763710021972656, 0.0, 0.0, 0.0]"
33,"[-56.491661071777344, 67.47483825683594, 0.17763710021972656, 0.0, 0.0, 0.0]"
34,"[-116.72976684570312, 102.42710876464844, 0.17763710021972656, 0.0, 0.0, 0.0]"
35,"[-31.887414932250977, -77.74236297607422, 0.17763710021972656, 0.0, 0.0, 0.0]"
36,"[217.7956085205078, -32.49359130859375, 0.236785888671875, 0.0, 0.0, 0.0]"
37,"[-224.57716369628906, 180.67852783203125, 9.689212799072266, 0.0, 0.0, 0.0]"
38,"[-254.94728088378906, -32.77552032470703, 10.236785888671875, 0.0, 0.0, 0.0]"
39,"[-253.93968200683594, -15.299602508544922, 10.236785888671875, 0.0, 0.0, 0.0]"
40,"[-78.32054138183594, 156.8714599609375, 0.236785888671875, 0.0, 0.0, 0.0]"
41,"[-167.65289306640625, 175.58094787597656, 9.199613571166992, 0.0, 0.0, 0.0]"
42,"[21.024999618530273, 118.34625244140625, 0.236785888671875, 0.0, 0.0, 0.0]"
43,"[-140.0200958251953, 98.85618591308594, 0.236785888671875, 0.0, 0.0, 0.0]"
44,"[54.722923278808594, -157.1939697265625, 0.236785888671875, 0.0, 0.0, 0.0]"
45,"[-129.5565948486328, 157.54217529296875, 0.236785888671875, 0.0, 0.0, 0.0]"
46,"[56.76203155517578, 79.1904296875, 0.236785888671875, 0.0, 0.0, 0.0]"
47,"[24.226940155029297, -129.40420532226562, 0.236785888671875, 0.0, 0.0, 0.0]"
48,"[-72.71647644042969, 134.71177673339844, 0.28079459071159363, 0.0, 0.0, 0.0]"
49,"[-141.3094024658203, 99.92916870117188, 0.236785888671875, 0.0, 0.0, 0.0]"
50,"[-160.13352966308594, -101.47810363769531, 0.236785888671875, 0.0, 0.0, 0.0]"
51,"[331.1541748046875, 263.2798767089844, 0.1665496826171875, 0.0, 0.0, 0.0]"
52,"[-6.201707363128662, 279.3226318359375, 0.1665496826171875, 0.0, 0.0, 0.0]"
53,"[-6.934760093688965, 118.901123046875, 0.1665496826171875, 0.0, 0.0, 0.0]"
54,"[256.66796875, 127.16138458251953, 0.1665496826171875, 0.0, 0.0, 0.0]"
55,"[-6.196099281311035, 143.2855224609375, 0.1665496826171875, 0.0, 0.0, 0.0]"
56,"[343.1114807128906, 279.69189453125, 0.1665496826171875, 0.0, 0.0, 0.0]"
57,"[6.187196731567383, 220.51417541503906, 0.1665496826171875, 0.0, 0.0, 0.0]"
58,"[341.4715576171875, 225.09609985351562, 0.1665496826171875, 0.0, 0.0, 0.0]"
59,"[342.63037109375, 96.91319274902344, 0.1665496826171875, 0.0, 0.0, 0.0]"
60,"[330.1283874511719, 23.171585083007812, 0.1665496826171875, 0.0, 0.0, 0.0]"
61,"[66.53446960449219, 322.4838562011719, 0.1665496826171875, 0.0, 0.0, 0.0]"
